,"San Diego, CA","Chula Vista, CA","Oceanside, CA","Escondido, CA","El Cajon, CA","Vista, CA","Carlsbad, CA","San Marcos, CA","Spring Valley, CA","La Mesa, CA","Encinitas, CA","National City, CA","Santee, CA","Poway, CA","Fallbrook, CA","Lakeside, CA","Ramona, CA","Imperial Beach, CA","Lemon Grove, CA","Coronado, CA","Valley Center, CA","Alpine, CA","Bonita, CA","Solana Beach, CA","Jamul, CA","Rancho Santa Fe, CA","Bonsall, CA","Descanso, CA","Campo, CA","Del Mar, CA","Dulzura, CA","Julian, CA","Borrego Springs, CA","Pauma Valley, CA","Warner Springs, CA","Pala, CA","Santa Ysabel, CA","Boulevard, CA","Pine Valley, CA","Potrero, CA","Palomar Mountain, CA"
SizeRank,9.0,96.0,135.0,166.0,185.0,306.0,341.0,469.0,615.0,645.0,817.0,855.0,956.0,1058.0,1088.0,1247.0,1452.0,2135.0,2228.0,2407.0,2601.0,3065.0,3369.0,4668.0,5034.0,5109.0,8937.0,9790.0,9985.0,10221.0,12034.0,12892.0,13263.0,13951.0,15782.0,18260.0,18558.0,19025.0,20854.0,22411.0,26147.0
2004,503179.33,449631.5,440172.0,455496.42,465576.58,449361.17,655014.5,478307.25,415013.92,447264.42,794519.08,333263.17,422813.83,596384.25,498358.25,465185.0,449628.25,349405.17,354518.58,592291.42,559463.25,596007.08,505876.17,497018.5,552890.17,2085185.75,517441.5,393019.83,388776.75,631970.17,402719.83,331850.92,279641.75,448292.42,286267.92,536808.83,365341.58,334793.0,296857.25,350931.75,320550.08
2005,572562.83,529433.67,510532.0,531309.33,532926.33,521689.25,742318.33,554643.75,482268.75,504161.92,903726.75,396726.75,482501.58,670572.08,574410.0,533172.17,517224.75,403235.17,413359.58,685616.58,645923.33,685415.83,598502.5,581309.5,652037.0,2320143.42,600034.58,444227.33,479904.75,729137.25,475653.17,387082.17,325637.67,520614.17,334372.25,604059.92,428613.0,401672.17,366312.83,411912.08,324659.17
2006,571734.83,537851.58,522012.67,543412.08,533187.0,532651.58,735415.0,563073.42,489300.67,501401.0,910630.0,410066.33,483019.5,667107.17,590609.42,532616.83,523170.58,399777.58,421747.0,713663.67,663123.33,698254.75,606067.83,597660.5,678011.17,2354902.17,619095.83,442286.42,475672.25,755819.67,497250.25,390280.25,376737.25,560705.0,382850.58,630651.92,461965.75,391748.5,364270.0,425285.0,345764.67
2007,528553.5,497111.5,484626.25,504759.75,492716.75,495883.0,691044.92,522719.17,457849.58,462366.17,860940.17,385205.17,446515.58,620701.0,559824.67,490998.33,490127.92,372778.92,393085.0,686182.5,620668.67,645392.5,563766.33,571538.33,621889.83,2209021.83,578613.42,408954.75,425259.58,724823.08,442519.75,358270.67,368287.33,552494.5,363630.25,612793.83,412890.42,378251.25,335640.0,401778.75,310391.42
2008,456385.67,391030.0,399065.75,405791.0,411201.42,405050.5,621629.75,436090.08,361278.5,394544.42,784075.25,293171.58,380747.67,546708.75,476292.92,410531.42,415421.5,307934.83,315943.42,638237.67,530393.25,543961.83,469930.83,542947.0,527575.92,1978943.75,492786.08,355759.58,331258.75,714853.33,344929.0,315176.58,322374.83,479549.0,324562.5,535115.25,361373.33,306752.58,289903.58,339169.08,256036.0
2009,405974.83,316176.92,329279.25,325606.5,340188.75,328900.33,570891.33,365894.58,284944.67,353660.25,727620.75,218542.42,325194.33,498874.25,405166.75,338188.58,355864.33,259079.25,257410.33,644080.08,429580.17,471290.67,394459.0,564966.0,465206.42,1875177.5,422570.67,328384.58,237640.58,700703.25,289951.75,281743.42,268806.25,404041.42,302737.92,505006.25,328149.58,246081.0,255055.33,296779.0,265233.33
2010,418006.33,330315.33,334764.5,334890.5,341511.83,334789.0,581561.08,373918.25,291348.17,371439.08,745159.67,228033.58,331103.08,516171.17,390207.58,338917.08,355407.42,279902.0,275270.5,683880.0,417211.17,456279.0,419578.08,605562.5,467681.17,1953699.08,427677.33,320494.33,211836.17,754425.25,300972.58,279710.17,222707.92,401789.08,289305.58,481388.33,320216.83,237257.33,252493.33,262396.58,237087.67
2011,392163.25,316577.08,318815.0,320278.58,317094.25,319766.58,549647.67,354717.0,277910.67,345474.42,701676.58,223832.58,310256.08,484430.75,365359.67,309665.67,323092.67,278102.33,263816.75,662588.58,384368.67,417474.58,406176.67,605391.0,433547.58,1891241.08,401757.83,293601.58,192455.83,811926.33,280507.83,248395.58,183393.67,364550.17,255581.75,441131.75,287641.58,217764.92,230392.08,241004.0,219209.17
2012,392178.83,319424.5,316250.83,318000.0,317925.08,317334.5,543442.17,352946.42,279143.92,349854.67,709677.08,229552.33,312312.5,484562.75,363534.92,312965.17,317896.42,284682.67,265154.58,707618.5,381224.25,415965.25,413193.58,606900.0,429741.83,1923811.33,398749.67,282617.58,189392.92,906556.33,276507.08,242459.42,172183.33,355611.08,241075.58,444984.83,284529.5,218642.92,226208.33,230904.25,215602.5
2013,460122.0,374695.42,371302.67,376810.0,371172.33,379964.67,629036.83,416335.67,334469.25,410731.0,819597.08,275457.33,365997.83,560013.83,424626.25,368776.92,373353.0,334962.08,319102.83,836157.33,440028.58,463380.58,489598.0,692376.75,491329.67,2249032.58,462210.92,291506.08,197564.75,1071297.17,313979.67,262996.83,176671.67,404908.83,254747.5,503979.58,325885.58,228386.83,233785.42,250989.5,212344.67
2014,498278.75,417316.33,413514.0,413617.67,405042.67,418784.5,685621.83,463711.92,365987.08,442005.67,881188.58,308966.92,401656.75,598643.08,463031.58,401207.67,415255.67,376283.17,347893.33,946235.67,480120.08,504159.08,533931.17,764621.5,541929.67,2385355.83,500203.25,316482.83,218689.83,1216695.17,363971.67,286722.08,189734.83,436782.67,262229.5,533455.67,359775.92,255954.0,272400.17,286000.0,232652.25
2015,515490.0,440833.0,433364.58,429095.42,422099.17,436492.42,714592.67,484853.92,383869.08,456740.75,906899.75,330374.42,420416.08,614310.08,484760.17,421655.08,432173.75,416960.42,369339.0,1096850.75,497866.83,527791.92,563905.25,856297.08,560501.42,2421313.25,517987.5,335963.17,230722.42,1415125.67,381592.5,297496.67,195911.25,462363.67,277916.08,567277.0,380878.33,273840.33,290194.33,299399.0,269995.08
2016,549905.25,472228.75,464181.83,462862.75,453789.5,467768.5,757920.5,514628.67,417176.83,489194.25,975471.83,363717.42,451423.75,651513.58,510327.92,451710.08,466839.83,472655.92,403574.17,1257434.42,533928.75,561181.5,599962.17,985200.17,593833.58,2464987.42,546331.17,375521.67,257138.58,1677736.58,414609.5,315786.58,197917.42,472122.08,304602.92,609145.0,408143.17,291328.25,309011.58,328277.0,271757.33
2017,590351.17,503999.67,501106.92,495091.75,484457.17,500528.17,803964.67,548426.17,448903.75,525236.08,1037634.83,399622.67,482109.17,691909.83,545244.75,482339.33,501041.58,538211.5,435916.75,1411213.83,566742.83,594445.58,633704.33,1132825.92,626396.75,2498763.25,585265.33,411435.5,289007.33,1975855.25,450926.0,342571.58,206596.42,493928.58,322857.83,633875.33,428249.67,296912.83,338148.75,353491.67,262008.58
2018,633285.17,531755.75,532973.08,522631.42,512749.67,532087.5,850987.0,583348.08,476552.58,560866.08,1112070.75,429276.33,513951.5,732143.5,577773.33,509174.08,533138.08,589580.58,461904.83,1634624.92,600895.83,632743.42,664749.75,1307033.92,665153.5,2564713.0,619987.33,433084.17,315375.92,2291431.83,469112.33,367167.33,215222.5,520867.92,331146.75,668100.42,456633.42,276882.92,355474.83,368741.92,265798.08
2019,643698.67,538846.17,539641.42,529086.5,518744.42,541504.42,861867.17,589390.67,484013.92,565589.5,1150235.08,440855.17,520436.0,738401.67,583555.42,516197.58,533147.08,601439.67,473325.42,1737541.17,602783.92,634788.83,675688.0,1382278.17,660254.42,2537789.33,628141.83,434887.5,317703.42,2423645.83,462066.42,365308.33,216804.08,533692.92,318419.75,665311.5,458220.58,273515.42,368263.75,361441.83,248235.83
